Unnamed: 0,id_medicine,id_disease,correlation_score
0,-1,-1,0.225
1,-1,-1,0.698
2,-1,-1,0.588
3,-1,-1,0.214
4,-1,-1,0.299
5,-1,-1,0.402
6,-1,-1,0.342
7,-1,-1,0.113
8,-1,-1,0.546
9,-1,-1,0.306
10,-1,-1,0.448
11,-1,-1,0.135
12,-1,-1,0.358
13,-1,-1,0.609
14,-1,-1,0.397
15,-1,-1,0.161
16,-1,-1,0.491
17,-1,-1,0.426
18,-1,-1,0.154
19,-1,-1,0.267
20,-1,-2,0.324
21,-1,-2,0.459
22,-1,-2,0.244
23,-1,-2,0.38
24,-1,-2,0.207
25,-1,-2,0.596
26,-1,-2,0.571
27,-1,-2,0.423
28,-1,-2,0.187
29,-1,-2,0.178
30,-1,-2,0.185
31,-1,-2,0.587
32,-1,-2,0.44
33,-1,-2,0.47
34,-1,-2,0.7
35,-1,-2,0.122
36,-1,-2,0.468
37,-1,-2,0.375
38,-1,-2,0.108
39,-1,-2,0.505
40,-1,-3,0.506
41,-1,-3,0.593
42,-1,-3,0.276
43,-1,-3,0.671
44,-1,-3,0.396
45,-1,-3,0.535
46,-1,-3,0.667
47,-1,-3,0.401
48,-1,-3,0.292
49,-1,-3,0.301
50,-1,-3,0.423
51,-1,-3,0.225
52,-1,-3,0.24
53,-1,-3,0.158
54,-1,-3,0.282
55,-1,-3,0.547
56,-1,-3,0.412
57,-1,-3,0.103
58,-1,-3,0.396
59,-1,-3,0.194
60,-1,-4,0.124
61,-1,-4,0.301
62,-1,-4,0.224
63,-1,-4,0.312
64,-1,-4,0.638
65,-1,-4,0.242
66,-1,-4,0.542
67,-1,-4,0.411
68,-1,-4,0.408
69,-1,-4,0.386
70,-1,-4,0.61
71,-1,-4,0.539
72,-1,-4,0.406
73,-1,-4,0.162
74,-1,-4,0.253
75,-1,-4,0.63
76,-1,-4,0.138
77,-1,-4,0.324
78,-1,-4,0.436
79,-1,-4,0.624
80,-1,-5,0.285
81,-1,-5,0.559
82,-1,-5,0.199
83,-1,-5,0.46
84,-1,-5,0.461
85,-1,-5,0.404
86,-1,-5,0.149
87,-1,-5,0.43
88,-1,-5,0.573
89,-1,-5,0.407
90,-1,-5,0.529
91,-1,-5,0.524
92,-1,-5,0.204
93,-1,-5,0.524
94,-1,-5,0.162
95,-1,-5,0.638
96,-1,-5,0.53
97,-1,-5,0.256
98,-1,-5,0.44
99,-1,-5,0.402
100,-1,-6,0.534
101,-1,-6,0.283
102,-1,-6,0.334
103,-1,-6,0.364
104,-1,-6,0.543
105,-1,-6,0.185
106,-1,-6,0.445
107,-1,-6,0.445
108,-1,-6,0.128
109,-1,-6,0.516
110,-1,-6,0.131
111,-1,-6,0.371
112,-1,-6,0.686
113,-1,-6,0.674
114,-1,-6,0.256
115,-1,-6,0.525
116,-1,-6,0.635
117,-1,-6,0.57
118,-1,-6,0.188
119,-1,-6,0.623
120,-1,-7,0.34
121,-1,-7,0.449
122,-1,-7,0.311
123,-1,-7,0.516
124,-1,-7,0.281
125,-1,-7,0.172
126,-1,-7,0.456
127,-1,-7,0.27
128,-1,-7,0.467
129,-1,-7,0.322
130,-1,-7,0.545
131,-1,-7,0.445
132,-1,-7,0.424
133,-1,-7,0.101
134,-1,-7,0.423
135,-1,-7,0.214
136,-1,-7,0.308
137,-1,-7,0.379
138,-1,-7,0.587
139,-1,-7,0.196
140,-1,-8,0.671
141,-1,-8,0.579
142,-1,-8,0.274
143,-1,-8,0.256
144,-1,-8,0.296
145,-1,-8,0.529
146,-1,-8,0.155
147,-1,-8,0.441
148,-1,-8,0.658
149,-1,-8,0.239
150,-1,-8,0.383
151,-1,-8,0.604
152,-1,-8,0.377
153,-1,-8,0.526
154,-1,-8,0.488
155,-1,-8,0.25
156,-1,-8,0.218
157,-1,-8,0.447
158,-1,-8,0.626
159,-1,-8,0.227
160,-1,-9,0.538
161,-1,-9,0.302
162,-1,-9,0.108
163,-1,-9,0.171
164,-1,-9,0.115
165,-1,-9,0.296
166,-1,-9,0.661
167,-1,-9,0.527
168,-1,-9,0.611
169,-1,-9,0.439
170,-1,-9,0.473
171,-1,-9,0.568
172,-1,-9,0.602
173,-1,-9,0.552
174,-1,-9,0.58
175,-1,-9,0.168
176,-1,-9,0.434
177,-1,-9,0.624
178,-1,-9,0.453
179,-1,-9,0.46
180,-1,-10,0.148
181,-1,-10,0.441
182,-1,-10,0.475
183,-1,-10,0.606
184,-1,-10,0.469
185,-1,-10,0.258
186,-1,-10,0.552
187,-1,-10,0.571
188,-1,-10,0.393
189,-1,-10,0.537
190,-1,-10,0.133
191,-1,-10,0.697
192,-1,-10,0.595
193,-1,-10,0.559
194,-1,-10,0.547
195,-1,-10,0.259
196,-1,-10,0.272
197,-1,-10,0.294
198,-1,-10,0.486
199,-1,-10,0.657
200,-1,-11,0.131
201,-1,-11,0.697
202,-1,-11,0.697
203,-1,-11,0.293
204,-1,-11,0.679
205,-1,-11,0.116
206,-1,-11,0.491
207,-1,-11,0.555
208,-1,-11,0.637
209,-1,-11,0.658
210,-1,-11,0.311
211,-1,-11,0.421
212,-1,-11,0.596
213,-1,-11,0.124
214,-1,-11,0.525
215,-1,-11,0.336
216,-1,-11,0.263
217,-1,-11,0.562
218,-1,-11,0.69
219,-1,-11,0.185
220,-1,-12,0.153
221,-1,-12,0.203
222,-1,-12,0.247
223,-1,-12,0.119
224,-1,-12,0.495
225,-1,-12,0.17
226,-1,-12,0.322
227,-1,-12,0.294
228,-1,-12,0.694
229,-1,-12,0.487
230,-1,-12,0.238
231,-1,-12,0.39
232,-1,-12,0.421
233,-1,-12,0.323
234,-1,-12,0.596
235,-1,-12,0.114
236,-1,-12,0.185
237,-1,-12,0.103
238,-1,-12,0.37
239,-1,-12,0.277
240,-1,-13,0.343
241,-1,-13,0.177
242,-1,-13,0.1
243,-1,-13,0.21
244,-1,-13,0.5
245,-1,-13,0.136
246,-1,-13,0.644
247,-1,-13,0.507
248,-1,-13,0.553
249,-1,-13,0.442
250,-1,-13,0.477
251,-1,-13,0.144
252,-1,-13,0.224
253,-1,-13,0.212
254,-1,-13,0.139
255,-1,-13,0.172
256,-1,-13,0.567
257,-1,-13,0.545
258,-1,-13,0.697
259,-1,-13,0.381
260,-1,-14,0.203
261,-1,-14,0.168
262,-1,-14,0.565
263,-1,-14,0.214
264,-1,-14,0.68
265,-1,-14,0.63
266,-1,-14,0.639
267,-1,-14,0.622
268,-1,-14,0.166
269,-1,-14,0.254
270,-1,-14,0.568
271,-1,-14,0.18
272,-1,-14,0.22
273,-1,-14,0.63
274,-1,-14,0.261
275,-1,-14,0.683
276,-1,-14,0.532
277,-1,-14,0.425
278,-1,-14,0.286
279,-1,-14,0.68
280,-1,-15,0.497
281,-1,-15,0.696
282,-1,-15,0.103
283,-1,-15,0.626
284,-1,-15,0.425
285,-1,-15,0.22
286,-1,-15,0.487
287,-1,-15,0.123
288,-1,-15,0.342
289,-1,-15,0.173
290,-1,-15,0.464
291,-1,-15,0.348
292,-1,-15,0.211
293,-1,-15,0.673
294,-1,-15,0.373
295,-1,-15,0.288
296,-1,-15,0.103
297,-1,-15,0.467
298,-1,-15,0.325
299,-1,-15,0.632
300,-1,-16,0.644
301,-1,-16,0.336
302,-1,-16,0.341
303,-1,-16,0.547
304,-1,-16,0.523
305,-1,-16,0.275
306,-1,-16,0.419
307,-1,-16,0.572
308,-1,-16,0.331
309,-1,-16,0.465
310,-1,-16,0.222
311,-1,-16,0.369
312,-1,-16,0.434
313,-1,-16,0.189
314,-1,-16,0.135
315,-1,-16,0.374
316,-1,-16,0.249
317,-1,-16,0.463
318,-1,-16,0.531
319,-1,-16,0.603
320,-1,-17,0.609
321,-1,-17,0.385
322,-1,-17,0.674
323,-1,-17,0.293
324,-1,-17,0.21
325,-1,-17,0.151
326,-1,-17,0.654
327,-1,-17,0.58
328,-1,-17,0.688
329,-1,-17,0.667
330,-1,-17,0.529
331,-1,-17,0.249
332,-1,-17,0.374
333,-1,-17,0.203
334,-1,-17,0.3
335,-1,-17,0.234
336,-1,-17,0.412
337,-1,-17,0.467
338,-1,-17,0.107
339,-1,-17,0.484
340,-1,-18,0.684
341,-1,-18,0.376
342,-1,-18,0.279
343,-1,-18,0.132
344,-1,-18,0.468
345,-1,-18,0.631
346,-1,-18,0.506
347,-1,-18,0.481
348,-1,-18,0.645
349,-1,-18,0.423
350,-1,-18,0.521
351,-1,-18,0.321
352,-1,-18,0.595
353,-1,-18,0.617
354,-1,-18,0.487
355,-1,-18,0.114
356,-1,-18,0.688
357,-1,-18,0.306
358,-1,-18,0.377
359,-1,-18,0.547
360,-1,-19,0.568
361,-1,-19,0.135
362,-1,-19,0.474
363,-1,-19,0.517
364,-1,-19,0.369
365,-1,-19,0.24
366,-1,-19,0.694
367,-1,-19,0.487
368,-1,-19,0.676
369,-1,-19,0.336
370,-1,-19,0.185
371,-1,-19,0.601
372,-1,-19,0.459
373,-1,-19,0.105
374,-1,-19,0.101
375,-1,-19,0.32
376,-1,-19,0.646
377,-1,-19,0.221
378,-1,-19,0.18
379,-1,-19,0.254
380,-1,-20,0.377
381,-1,-20,0.177
382,-1,-20,0.33
383,-1,-20,0.133
384,-1,-20,0.31
385,-1,-20,0.224
386,-1,-20,0.183
387,-1,-20,0.471
388,-1,-20,0.368
389,-1,-20,0.316
390,-1,-20,0.59
391,-1,-20,0.493
392,-1,-20,0.41
393,-1,-20,0.492
394,-1,-20,0.237
395,-1,-20,0.633
396,-1,-20,0.391
397,-1,-20,0.383
398,-1,-20,0.698
399,-1,-20,0.172
400,-1,-1,0.417
401,-1,-1,0.529
402,-1,-1,0.651
403,-1,-1,0.218
404,-1,-1,0.634
405,-1,-1,0.363
406,-1,-1,0.215
407,-1,-1,0.691
408,-1,-1,0.449
409,-1,-1,0.572
410,-1,-1,0.39
411,-1,-1,0.495
412,-1,-1,0.117
413,-1,-1,0.193
414,-1,-1,0.658
415,-1,-1,0.201
416,-1,-1,0.256
417,-1,-1,0.314
418,-1,-1,0.481
419,-1,-1,0.326
420,-1,-2,0.278
421,-1,-2,0.542
422,-1,-2,0.182
423,-1,-2,0.39
424,-1,-2,0.389
425,-1,-2,0.427
426,-1,-2,0.131
427,-1,-2,0.171
428,-1,-2,0.635
429,-1,-2,0.306
430,-1,-2,0.487
431,-1,-2,0.465
432,-1,-2,0.269
433,-1,-2,0.643
434,-1,-2,0.695
435,-1,-2,0.695
436,-1,-2,0.563
437,-1,-2,0.689
438,-1,-2,0.191
439,-1,-2,0.357
440,-1,-3,0.574
441,-1,-3,0.664
442,-1,-3,0.504
443,-1,-3,0.391
444,-1,-3,0.393
445,-1,-3,0.542
446,-1,-3,0.471
447,-1,-3,0.549
448,-1,-3,0.432
449,-1,-3,0.461
450,-1,-3,0.675
451,-1,-3,0.678
452,-1,-3,0.373
453,-1,-3,0.182
454,-1,-3,0.627
455,-1,-3,0.435
456,-1,-3,0.278
457,-1,-3,0.134
458,-1,-3,0.28
459,-1,-3,0.559
460,-1,-4,0.319
461,-1,-4,0.634
462,-1,-4,0.154
463,-1,-4,0.691
464,-1,-4,0.49
465,-1,-4,0.468
466,-1,-4,0.149
467,-1,-4,0.323
