,id_medicine,id_disease,correlation_score
0,D001,D001,0.225
1,D001,D001,0.698
2,D001,D001,0.588
3,D001,D001,0.214
4,D001,D001,0.299
5,D001,D001,0.402
6,D001,D001,0.342
7,D001,D001,0.113
8,D001,D001,0.546
9,D001,D001,0.306
10,D001,D001,0.448
11,D001,D001,0.135
12,D001,D001,0.358
13,D001,D001,0.609
14,D001,D001,0.397
15,D001,D001,0.161
16,D001,D001,0.491
17,D001,D001,0.426
18,D001,D001,0.154
19,D001,D001,0.267
20,D001,D002,0.324
21,D001,D002,0.459
22,D001,D002,0.244
23,D001,D002,0.38
24,D001,D002,0.207
25,D001,D002,0.596
26,D001,D002,0.571
27,D001,D002,0.423
28,D001,D002,0.187
29,D001,D002,0.178
30,D001,D002,0.185
31,D001,D002,0.587
32,D001,D002,0.44
33,D001,D002,0.47
34,D001,D002,0.7
35,D001,D002,0.122
36,D001,D002,0.468
37,D001,D002,0.375
38,D001,D002,0.108
39,D001,D002,0.505
40,D001,D003,0.506
41,D001,D003,0.593
42,D001,D003,0.276
43,D001,D003,0.671
44,D001,D003,0.396
45,D001,D003,0.535
46,D001,D003,0.667
47,D001,D003,0.401
48,D001,D003,0.292
49,D001,D003,0.301
50,D001,D003,0.423
51,D001,D003,0.225
52,D001,D003,0.24
53,D001,D003,0.158
54,D001,D003,0.282
55,D001,D003,0.547
56,D001,D003,0.412
57,D001,D003,0.103
58,D001,D003,0.396
59,D001,D003,0.194
60,D001,D004,0.124
61,D001,D004,0.301
62,D001,D004,0.224
63,D001,D004,0.312
64,D001,D004,0.638
65,D001,D004,0.242
66,D001,D004,0.542
67,D001,D004,0.411
68,D001,D004,0.408
69,D001,D004,0.386
70,D001,D004,0.61
71,D001,D004,0.539
72,D001,D004,0.406
73,D001,D004,0.162
74,D001,D004,0.253
75,D001,D004,0.63
76,D001,D004,0.138
77,D001,D004,0.324
78,D001,D004,0.436
79,D001,D004,0.624
80,D001,D005,0.285
81,D001,D005,0.559
82,D001,D005,0.199
83,D001,D005,0.46
84,D001,D005,0.461
85,D001,D005,0.404
86,D001,D005,0.149
87,D001,D005,0.43
88,D001,D005,0.573
89,D001,D005,0.407
90,D001,D005,0.529
91,D001,D005,0.524
92,D001,D005,0.204
93,D001,D005,0.524
94,D001,D005,0.162
95,D001,D005,0.638
96,D001,D005,0.53
97,D001,D005,0.256
98,D001,D005,0.44
99,D001,D005,0.402
100,D001,D006,0.534
101,D001,D006,0.283
102,D001,D006,0.334
103,D001,D006,0.364
104,D001,D006,0.543
105,D001,D006,0.185
106,D001,D006,0.445
107,D001,D006,0.445
108,D001,D006,0.128
109,D001,D006,0.516
110,D001,D006,0.131
111,D001,D006,0.371
112,D001,D006,0.686
113,D001,D006,0.674
114,D001,D006,0.256
115,D001,D006,0.525
116,D001,D006,0.635
117,D001,D006,0.57
118,D001,D006,0.188
119,D001,D006,0.623
120,D001,D007,0.34
121,D001,D007,0.449
122,D001,D007,0.311
123,D001,D007,0.516
124,D001,D007,0.281
125,D001,D007,0.172
126,D001,D007,0.456
127,D001,D007,0.27
128,D001,D007,0.467
129,D001,D007,0.322
130,D001,D007,0.545
131,D001,D007,0.445
132,D001,D007,0.424
133,D001,D007,0.101
134,D001,D007,0.423
135,D001,D007,0.214
136,D001,D007,0.308
137,D001,D007,0.379
138,D001,D007,0.587
139,D001,D007,0.196
140,D001,D008,0.671
141,D001,D008,0.579
142,D001,D008,0.274
143,D001,D008,0.256
144,D001,D008,0.296
145,D001,D008,0.529
146,D001,D008,0.155
147,D001,D008,0.441
148,D001,D008,0.658
149,D001,D008,0.239
150,D001,D008,0.383
151,D001,D008,0.604
152,D001,D008,0.377
153,D001,D008,0.526
154,D001,D008,0.488
155,D001,D008,0.25
156,D001,D008,0.218
157,D001,D008,0.447
158,D001,D008,0.626
159,D001,D008,0.227
160,D001,D009,0.538
161,D001,D009,0.302
162,D001,D009,0.108
163,D001,D009,0.171
164,D001,D009,0.115
165,D001,D009,0.296
166,D001,D009,0.661
167,D001,D009,0.527
168,D001,D009,0.611
169,D001,D009,0.439
170,D001,D009,0.473
171,D001,D009,0.568
172,D001,D009,0.602
173,D001,D009,0.552
174,D001,D009,0.58
175,D001,D009,0.168
176,D001,D009,0.434
177,D001,D009,0.624
178,D001,D009,0.453
